各位同学大家好,欢迎大家继续学习我们ASLite的幻灯力量系列课程
这个时候去制作一个图示图表,
我们首先需要对页面进行一个调整,
比如说我们要制作图示图表,
那么为了方便演示,
我用一些举行框来给大家作为代替,
我们可以使用SLite插件里面的快速布局工具,
使用对齐工具里面的横向风布,
它们就会自动横向均匀的风布,
我们是用参考线布局里面的过展到参考线区域宽度,
然后点击一下它就会自动扩展,
那么接下来我们可以对它更改颜色,
找到形状添称,
然后在主题色里面找到一种颜色,
这个试图我们就制作完成了,
接下来也是我们的内容页,
比如说这块我们要插入一张图片,
我们找到插图库,
下载一张图片,
将它放在合适的位置,
这个应该是我们的章节过渡页,
对吧,章节过渡页,
然后我们再次点击找到一张合适的图片插入,
这个是我们的章节过渡页,
然后接下来又是一个内容页,
然后我们套用我们的内容版式,
那么这个时候比如说我们想将它移到右边来也是可以的,
那么这块我们又想插入一张圆形的图片,
怎么办呢,
我们先插入一个圆,
我们先绘制一个圆,
然后打开我们Aslan的插件,
找到图片库,
那么在我们Aslan的插件的图片库里面,
当我们先选中某个形状的时候,
它就会作为一个图片站位符,
然后我们点击需要的图片,
点击T换就可以,
那么这个时候我们的圆形图片就已经插入成功了,
然后我们调整页面,
如果说调整错误了,
我们依然可以再次点击重置,
然后重新对内容进行调整,
那么后面这一页又是一个内容页,
然后我们套用内容页的版式,
那这个地方比如说按照我们的内容需要,
我们是需要插入一张图表,
那么我们可以先插入一个举形框,
然后让它作为站位符,
然后我们找到插入,
找到图表,
点击插入一个图表,
我们点击确定,
那当然数据我们就不去做更改了,
数据跟起来比较麻烦,
因为我们时间有限,
我们就使用这个默认图表,
那么这个时候默认图表我们要放在目前这个位置,
那么我们就可以使用Aslan的插件的设计工具去快速可以实现,
然后我们先选中举形框再选中图表,
然后我们在大小里面找到这个替换,
我们点击一下,
就会发现它已经替换成功了,
然后我们将不用的举形框删掉就可以,
那么接下来我们的PPT就制作完成了,
我们需要制作一个尾页,
我们新建一个换灯片,
然后我们套用我们的一个其中的一个版式,
那么比如说在这里我们输入,
谢谢观看,
那么到这里我们的一个PPT就已经快速的制作完成了,
那么当我们需要去更改我们的主题颜色的时候,
我们只需要点击Aslan的插件,
找到我们的色彩库,
然后选择一套颜色去替换就可以,
会发现我们所有的颜色都已经做了替换,
包括logo的颜色,
包括文字的颜色,
我们可以多次的去替换找到合适的色彩搭配,
那比如说我们要整体去更改字体的话,
我们点击设计,
找到遍体下面的字体,
然后打开自定义字体编辑框,
然后我们可以定义西文字体和中文字体,
那么这里为了方便演示呢,
我们将字体改的比较夸张一些,
我们再来定义一个中文字体,
我们点击保存,
然后会发现所有的字体都已经做了替换,
如果说发现这里没有替换,
我们点击重置就可以,
发现这一页也没有替换成功,
我们点击重置即可,
如果说发现我们替换完字体以后不好看,
那怎么办呢,
我要恢复,
我们依然是点击设计,
找到遍体的下拉菜单,
找到我们的标准字体,
我们一键替换,
这个时候就会发现它又替换回来了,
那么接下来我们全屏播放看一下
我们制作的这一封ppt的效果,
当然对于制作主题模板,
我们也可以选择sla的插件,
找到插件里面的主题库,
这里面给大家内置了非常非常多的主题,
我们可以选择任意一套学下载套用,
那么今天的课程就到这里了,
感谢大家的收看,
